"Sites","Lat","Long","SSTmean_cont","SSTrange_cont","PrecMean_cont","PrecRange_cont","SSTmean_paleo","SSTrange_paleo","PrecMean_paleo","PrecRange_paleo"
"Kidds_Beach",-33.16,27.7,21.6873382720947,6.44229209136963,758.222000000007,50.7160000000005,21.2187272274133,4.74612121871023,833.542000000008,64.3220000000005
"East_London",-33.06,27.87,21.7986235321045,6.42241202926637,833.0832,59.6868000000001,21.2856470220229,4.79264705882353,913.949999999999,74.1795999999999
"Nahoon_river",-32.99,27.95,21.9650085830689,6.37287071228026,832.443999999999,62.3580000000004,21.3422941095689,4.81841175976921,923.614000000002,76.9560000000009
"Gqunube",-32.94,28.03,22.0200148765564,6.37865088729858,847.746000000002,65.8000000000004,21.3698830520898,4.84152045723988,938.940000000003,79.3600000000004
"Chintsa",-32.83,28.12,21.9671588310242,6.44891127090455,859.358,70.9,21.4430246941837,4.84740739398532,949.524800000001,82.7924000000001
"Cefani",-32.81,28.14,22.0899824249267,6.37365744552614,863.762000000002,72.3592,21.4527043996367,4.84767294529849,952.581200000003,83.6804000000002
"Haga_Haga",-32.77,28.23,22.3116626129151,6.24407363128661,890.558800000002,76.7227999999998,21.4824404716492,4.84839284420013,982.184800000007,88.8200000000004
"Kei_river",-32.68,28.39,22.4296251441956,6.19534253082274,939.730400000001,84.1952000000001,21.5282485875706,4.84734463018213,1034.6516,97.9576
"Ngogwana",-32.65,28.42,22.431861026764,6.1992643203735,949.076000000003,86.5280000000005,21.5367222362094,4.84877777364519,1043.234,100.204
"Wavecrest",-32.59,28.53,22.7056873046875,5.96796038436887,979.722400000002,90.1199999999999,21.5548387240338,4.84155913578567,1079.9352,105.84
"Dwesa",-32.27,28.89,22.9923370834351,5.78961735992432,1070.4884,103.3932,21.6451322464716,4.68439153640989,1172.188,117.9532
"Umganzana",-31.71,29.42,23.048522039032,5.91014905700684,1064.512,103,21.7811731732757,4.52284915753583,1170.37320000001,114.5184
"Coffee_Bay",-31.99,29.15,23.0635941848755,5.83426043701172,1046.42,102.832,21.7024323540765,4.58681080792401,1141.486,113.904
