Site,Bioregion,Lat,Long,pi,Genus,Species,spp,Habitat,Diet
Touw_river,WarmTemperate,-34,22.58,0.0019,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Swartvlei,WarmTemperate,-34.03,22.78,0.0025,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Goukamma,WarmTemperate,-34.05,22.86,0.0030,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Brenton_on_Sea,WarmTemperate,-34.08,23.03,0.0078,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Gamtoos_river,WarmTemperate,-33.98,25.03,0.0019,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Sundays_river,WarmTemperate,-33.73,25.85,0.0019,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Bushmans_river,WarmTemperate,-33.7,26.65,0.0009,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Fish_river,WarmTemperate,-33.5,27.14,0.0028,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Old_womans_river,WarmTemperate,-33.48,27.15,0.0010,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Kidds_Beach,SubTropical,-33.16,27.7,0.0128,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Nahoon_river,SubTropical,-32.99,27.95,0.0024,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Kei_river,SubTropical,-32.68,28.39,0.0041,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Umganzana,SubTropical,-31.71,29.42,0.0008,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Langebaan,CoolTemperate,-33.07,18.04,0.0006,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Gansbaai,SouthWest,-34.58,19.34,0.0084,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.0022,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Schoenmakerskop,WarmTemperate,-34.05,25.6,0.0090,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Swartkops_River,WarmTemperate,-33.87,25.63,0.0100,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.0044,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Umzumbe,SubTropical,-30.63,30.54,0.0041,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Nonoti,SubTropical,-29.33,31.39,0.0020,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Cape_St_Lucia,Tropical,-28.53,32.4,0.0019,Palaemon,peringueyi,Ppe,Estuarine,Grazer
Kleinmond,SouthWest,-34.35,19.02,0.0070,Perna,perna,Ppa,Rocky,Filter feeder
Gansbaai,SouthWest,-34.58,19.34,0.0084,Perna,perna,Ppa,Rocky,Filter feeder
Schoenmakerskop,WarmTemperate,-34.05,25.6,0.0090,Perna,perna,Ppa,Rocky,Filter feeder
Swartkops_River,WarmTemperate,-33.87,25.63,0.0100,Perna,perna,Ppa,Rocky,Filter feeder
Kidds_Beach,SubTropical,-33.16,27.7,0.0128,Perna,perna,Ppa,Rocky,Filter feeder
Haga_Haga,SubTropical,-32.77,28.23,0.0044,Perna,perna,Ppa,Rocky,Filter feeder
Umzumbe,SubTropical,-30.63,30.54,0.0041,Perna,perna,Ppa,Rocky,Filter feeder
Nonoti,SubTropical,-29.33,31.39,0.0020,Perna,perna,Ppa,Rocky,Filter feeder
Cape_St_Lucia,Tropical,-28.53,32.4,0.0019,Perna,perna,Ppa,Rocky,Filter feeder
Jacobs_Bay,CoolTemperate,-32.97,17.89,0.0055,Cyclograpsus,punctatus,Cpu,Rocky/estuarine,Grazer
Wooleys_Pool,SouthWest,-34.13,18.45,0.0025,Cyclograpsus,punctatus,Cpu,Rocky/estuarine,Grazer
Rooiels,SouthWest,-34.3,18.81,0.0039,Cyclograpsus,punctatus,Cpu,Rocky/estuarine,Grazer
Bettys_Bay,SouthWest,-34.36,18.92,0.0069,Cyclograpsus,punctatus,Cpu,Rocky/estuarine,Grazer
Cape_Agulhas,WarmTemperate,-34.83,20.01,0.0092,Cyclograpsus,punctatus,Cpu,Rocky/estuarine,Grazer
Breede_(Cape_Infanta),WarmTemperate,-34.46,20.87,0.0114,Cyclograpsus,punctatus,Cpu,Rocky/estuarine,Grazer
Herolds_Bay,WarmTemperate,-34.06,22.4,0.0183,Cyclograpsus,punctatus,Cpu,Rocky/estuarine,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.0169,Cyclograpsus,punctatus,Cpu,Rocky/estuarine,Grazer
Munster,SubTropical,-30.99,30.27,0.0055,Cyclograpsus,punctatus,Cpu,Rocky/estuarine,Grazer
Ramsgate,SubTropical,-30.87,30.37,0.0017,Cyclograpsus,punctatus,Cpu,Rocky/estuarine,Grazer
Port_Shepstone,SubTropical,-30.74,30.46,0.0120,Chrysoblephus,puniceus,Cpu,Rocky,Carnivorous
Richards_Bay,SubTropical,-28.81,32.09,0.0110,Chrysoblephus,puniceus,Cpu,Rocky,Carnivorous
Ponta_de_Ouro,Tropical,-26.87,32.89,0.0110,Chrysoblephus,puniceus,Cpu,Rocky,Carnivorous
Coffee_Bay,SubTropical,-31.99,29.15,0.0120,Chrysoblephus,puniceus,Cpu,Rocky,Carnivorous
Muizenberg,SouthWest,-34.1,18.49,0.0700,Bullia,rhodostoma,Brh,Sandy,Carnivorous
Herolds_Bay,WarmTemperate,-34.06,22.4,0.0900,Bullia,rhodostoma,Brh,Sandy,Carnivorous
Bettys_Bay,SouthWest,-34.36,18.92,0.0600,Bullia,rhodostoma,Brh,Sandy,Carnivorous
Knysna,WarmTemperate,-34.09,23.09,0.0500,Bullia,rhodostoma,Brh,Sandy,Carnivorous
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.0600,Bullia,rhodostoma,Brh,Sandy,Carnivorous
Port_Alfred,WarmTemperate,-33.63,26.87,0.0700,Bullia,rhodostoma,Brh,Sandy,Carnivorous
Haga_Haga,SubTropical,-32.77,28.23,0.1100,Bullia,rhodostoma,Brh,Sandy,Carnivorous
Port_St._Johns,SubTropical,-31.63,29.55,0.1000,Bullia,rhodostoma,Brh,Sandy,Carnivorous
Schoenmakerskop,WarmTemperate,-34.05,25.6,0.0040,Siphonaria,serrata,Sse,Rocky,Grazer
Gqunube,SubTropical,-32.94,28.03,0.0018,Siphonaria,serrata,Sse,Rocky,Grazer
Chintsa,SubTropical,-32.83,28.12,0.0010,Siphonaria,serrata,Sse,Rocky,Grazer
Ngogwana,SubTropical,-32.65,28.42,0.0014,Siphonaria,serrata,Sse,Rocky,Grazer
Wavecrest,SubTropical,-32.59,28.53,0.0005,Siphonaria,serrata,Sse,Rocky,Grazer
Umzumbe,SubTropical,-30.63,30.54,0.0047,Siphonaria,serrata,Sse,Rocky,Grazer
Shakas_Rock,SubTropical,-29.52,31.23,0.0024,Siphonaria,serrata,Sse,Rocky,Grazer
Nonoti,SubTropical,-29.33,31.39,0.0010,Siphonaria,serrata,Sse,Rocky,Grazer
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.0050,Siphonaria,serrata,Sse,Rocky,Grazer
Port_Edward,SubTropical,-31.06,30.23,0.0067,Siphonaria,serrata,Sse,Rocky,Grazer
Brandsebaai,CoolTemperate,-31.3,17.88,0.8700,Oxystele,tigrina,Oti,Rocky,Grazer
Breede_(Cape_Infanta),WarmTemperate,-34.46,20.87,0.9307,Oxystele,tigrina,Oti,Rocky,Grazer
Cape_Agulhas,WarmTemperate,-34.83,20.01,0.9869,Oxystele,tigrina,Oti,Rocky,Grazer
Gansbaai,SouthWest,-34.58,19.34,0.9543,Oxystele,tigrina,Oti,Rocky,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.8986,Oxystele,tigrina,Oti,Rocky,Grazer
Herolds_Bay,WarmTemperate,-34.06,22.4,0.9632,Oxystele,tigrina,Oti,Rocky,Grazer
Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.8900,Oxystele,tigrina,Oti,Rocky,Grazer
Jacobs_Bay,CoolTemperate,-32.97,17.89,0.9200,Oxystele,tigrina,Oti,Rocky,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.9524,Oxystele,tigrina,Oti,Rocky,Grazer
Kommetjie,CoolTemperate,-34.14,18.32,0.8800,Oxystele,tigrina,Oti,Rocky,Grazer
Lamberts_Bay,CoolTemperate,-32.09,18.31,0.9000,Oxystele,tigrina,Oti,Rocky,Grazer
Mouille_Point,CoolTemperate,-33.9,18.4,0.9100,Oxystele,tigrina,Oti,Rocky,Grazer
Port_Alfred,WarmTemperate,-33.63,26.87,0.9004,Oxystele,tigrina,Oti,Rocky,Grazer
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.9091,Oxystele,tigrina,Oti,Rocky,Grazer
Port_Nolloth,CoolTemperate,-29.25,16.87,0.9100,Oxystele,tigrina,Oti,Rocky,Grazer
Wooleys_Pool,SouthWest,-34.13,18.45,0.9333,Oxystele,tigrina,Oti,Rocky,Grazer
Port_Nolloth,CoolTemperate,-29.25,16.87,0.0003,Oxystele,variegata,Ova,Rocky,Grazer
Gansbaai,SouthWest,-34.58,19.34,0.0035,Oxystele,variegata,Ova,Rocky,Grazer
Cape_Agulhas,WarmTemperate,-34.83,20.01,0.0042,Oxystele,variegata,Ova,Rocky,Grazer
Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.0012,Oxystele,variegata,Ova,Rocky,Grazer
Herolds_Bay,WarmTemperate,-34.06,22.4,0.0058,Oxystele,variegata,Ova,Rocky,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.0034,Oxystele,variegata,Ova,Rocky,Grazer
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.0028,Oxystele,variegata,Ova,Rocky,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.0038,Oxystele,variegata,Ova,Rocky,Grazer
Lamberts_Bay,CoolTemperate,-32.09,18.31,0.0012,Oxystele,variegata,Ova,Rocky,Grazer
