id,Sites,Bioregion,Lat,Long,h,Genus,Species,spp,Exploited,IUCN_status,Reproduction,Max_body_size_cm,Vertical_distribution,Adult_mobility,Habitat,Diet
281,Wooleys_Pool,SouthWest,-34.13,18.45,0.948,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
283,Wooleys_Pool,SouthWest,-34.13,18.45,0.9744,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
310,Herolds_Bay,WarmTemperate,-34.06,22.4,0.96324,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
311,Rooiels,SouthWest,-34.3,18.81,0.9,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
312,Rooiels,SouthWest,-34.3,18.81,0.965,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
314,Rooiels,SouthWest,-34.3,18.81,0.981,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
331,Bettys_Bay,SouthWest,-34.36,18.92,0.86,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
332,Bettys_Bay,SouthWest,-34.36,18.92,0.94,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
334,Bettys_Bay,SouthWest,-34.36,18.92,0.9654,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
371,Gansbaai,SouthWest,-34.58,19.34,0.96,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
372,Gansbaai,SouthWest,-34.58,19.34,0.89,Talorchestia,capensis,Tca,No,NE,planktonic,2,Benthic,Low,Sandy,Filter Feeder
373,Gansbaai,SouthWest,-34.58,19.34,0.87,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
374,Gansbaai,SouthWest,-34.58,19.34,0.967,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
376,Gansbaai,SouthWest,-34.58,19.34,0.9789,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
377,Gansbaai,SouthWest,-34.58,19.34,0.91667,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
401,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.409,Mustelus,mustelus,Mmu,Yes,VU,direct developer,120,Benthic,High,Sandy,Carnivorous
404,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.92,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
405,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.963,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
407,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.9,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
408,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.84762,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
410,Knysna,WarmTemperate,-34.09,23.09,0.95238,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
471,Still_Bay,WarmTemperate,-34.37,21.44,0.22,Afrolittorina,knysnaensis,Akn,No,NE,planktonic,1,Benthic,Low,Rocky,Grazer
472,Still_Bay,WarmTemperate,-34.37,21.44,0.62,Excirolana,latipes,Ela,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
511,Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.68,Parvulastra,exigua,Pex,No,NE,direct developer,2,Benthic,Low,Rocky,Grazer
