id,Sites,Bioregion,Lat,Long,pi,Genus,Species,spp,Exploited,IUCN_status,Reproduction,Max_body_size_cm,Vertical_distribution,Adult_mobility,Habitat,Diet
212,Port_Nolloth,CoolTemperate,-29.25,16.87,0.0059,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
216,Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.0049,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
217,Port_Nolloth,CoolTemperate,-29.25,16.87,0.02,Excirolana,latipes,Ela,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
218,Jacobs_Bay,CoolTemperate,-32.97,17.89,0.00636,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
219,Port_Nolloth,CoolTemperate,-29.25,16.87,0.00033,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
220,Gansbaai,SouthWest,-34.58,19.34,0.0054,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
221,Cape_Town,CoolTemperate,-33.91,18.43,2.00E-04,Mustelus,mustelus,Mmu,Yes,VU,direct developer,120,Benthic,High,Sandy,Carnivorous
225,Haga_Haga,SubTropical,-32.77,28.23,0.00559,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
226,Breede_(Cape_Infanta),WarmTemperate,-34.46,20.87,0.00561,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
236,Mouille_Point,CoolTemperate,-33.9,18.4,0.004936,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
251,Kommetjie,CoolTemperate,-34.14,18.32,0.0114,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
271,False_Bay,SouthWest,-34.24,18.66,0.007,Chrysoblephus,laticeps,Cla,Yes,NT,planktonic,50,Demersal Deep,Low,Rocky,Carnivorous
281,Wooleys_Pool,SouthWest,-34.13,18.45,0.008,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
283,Wooleys_Pool,SouthWest,-34.13,18.45,0.004728,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
310,Herolds_Bay,WarmTemperate,-34.06,22.4,0.00561,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
311,Rooiels,SouthWest,-34.3,18.81,0.009,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
312,Rooiels,SouthWest,-34.3,18.81,0.011,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
314,Rooiels,SouthWest,-34.3,18.81,0.019586,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
331,Bettys_Bay,SouthWest,-34.36,18.92,0.06,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
332,Bettys_Bay,SouthWest,-34.36,18.92,0.0083,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
334,Bettys_Bay,SouthWest,-34.36,18.92,0.006824,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
371,Gansbaai,SouthWest,-34.58,19.34,0.0058,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
372,Gansbaai,SouthWest,-34.58,19.34,0.0039,Talorchestia,capensis,Tca,No,NE,planktonic,2,Benthic,Low,Sandy,Filter Feeder
373,Gansbaai,SouthWest,-34.58,19.34,0.0084,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
374,Gansbaai,SouthWest,-34.58,19.34,0.01,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
376,Gansbaai,SouthWest,-34.58,19.34,0.010509,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
377,Gansbaai,SouthWest,-34.58,19.34,0.00348,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
401,Cape_Agulhas,WarmTemperate,-34.83,20.01,5.00E-04,Mustelus,mustelus,Mmu,Yes,VU,direct developer,120,Benthic,High,Sandy,Carnivorous
404,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.0044,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
405,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.01,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
407,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.004084,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
408,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.00417,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
410,Knysna,WarmTemperate,-34.09,23.09,0.00635,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
471,Still_Bay,WarmTemperate,-34.37,21.44,0.00088,Afrolittorina,knysnaensis,Akn,No,NE,planktonic,1,Benthic,Low,Rocky,Grazer
472,Still_Bay,WarmTemperate,-34.37,21.44,0.03,Excirolana,latipes,Ela,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
513,Jacobs_Bay,CoolTemperate,-32.97,17.89,0.0061,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
514,Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.03,Tylos,granulatus,Tgr,No,NE,direct developer,6,Benthic,Low,Sandy,Grazer
515,Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.01,Excirolana,natalensis,Ena,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
516,Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.00122,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
517,Port_Elizabeth,WarmTemperate,-33.99,25.68,0.00529,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
531,Herolds_Bay,WarmTemperate,-34.06,22.4,0.009,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
533,Herolds_Bay,WarmTemperate,-34.06,22.4,0.006958,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
534,Herolds_Bay,WarmTemperate,-34.06,22.4,0.00583,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
591,Knysna,WarmTemperate,-34.09,23.09,0.05,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
592,Knysna,WarmTemperate,-34.09,23.09,0.0022,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
593,Knysna,WarmTemperate,-34.09,23.09,0.0043,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
594,Knysna,WarmTemperate,-34.09,23.09,0.011,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
596,Knysna,WarmTemperate,-34.09,23.09,0.05,Excirolana,latipes,Ela,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
597,Knysna,WarmTemperate,-34.09,23.09,0.006656,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
598,Knysna,WarmTemperate,-34.09,23.09,0.00339,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
610,Mouille_Point,CoolTemperate,-33.9,18.4,0.0052,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
611,Port_Alfred,WarmTemperate,-33.63,26.87,0.00675,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
